,experience,train,epoch,itrs,loss,accuracy
26,base_cnn_xavier_normal,0,1,28000,1.51046469001472,0
27,base_cnn_xavier_normal,1,1,28000,1.6979239678382874,0
28,base_cnn_xavier_normal,0,1,30000,1.474664090424776,0
29,base_cnn_xavier_normal,1,1,30000,1.6130514788627623,0
30,base_cnn_xavier_normal,0,1,32000,1.4645839340090752,0
31,base_cnn_xavier_normal,1,1,32000,1.6234008646011353,0
32,base_cnn_xavier_normal,0,1,34000,1.4671979875415564,0
33,base_cnn_xavier_normal,1,1,34000,1.6861733245849608,0
34,base_cnn_xavier_normal,0,1,36000,1.4914879142791033,0
35,base_cnn_xavier_normal,1,1,36000,1.7125123143196106,0
36,base_cnn_xavier_normal,0,2,2000,1.439510165810585,0
37,base_cnn_xavier_normal,1,2,2000,1.661022653579712,0
38,base_cnn_xavier_normal,0,2,4000,1.432751664623618,0
39,base_cnn_xavier_normal,1,2,4000,1.615450439453125,0
40,base_cnn_xavier_normal,0,2,6000,1.4198625202924013,0
41,base_cnn_xavier_normal,1,2,6000,1.639371783733368,0
42,base_cnn_xavier_normal,0,2,8000,1.4209897111803294,0
43,base_cnn_xavier_normal,1,2,8000,1.6815892267227173,0
44,base_cnn_xavier_normal,0,2,10000,1.4111749421209097,0
45,base_cnn_xavier_normal,1,2,10000,1.6235750651359557,0
46,base_cnn_xavier_normal,0,2,12000,1.410405996516347,0
47,base_cnn_xavier_normal,1,2,12000,1.6399326300621033,0
48,base_cnn_xavier_normal,0,2,14000,1.3994300688803196,0
49,base_cnn_xavier_normal,1,2,14000,1.7015779113769531,0
50,base_cnn_xavier_normal,0,2,16000,1.380156830623746,0
51,base_cnn_xavier_normal,1,2,16000,1.7272309207916259,0
52,base_cnn_xavier_normal,0,2,18000,1.398403214544058,0
53,base_cnn_xavier_normal,1,2,18000,1.6207906007766724,0
54,base_cnn_xavier_normal,0,2,20000,1.3791339064836503,0
55,base_cnn_xavier_normal,1,2,20000,1.6591727256774902,0
56,base_cnn_xavier_normal,0,2,22000,1.3904599899202585,0
57,base_cnn_xavier_normal,1,2,22000,1.6041205954551696,0
58,base_cnn_xavier_normal,0,2,24000,1.3788963530510665,0
59,base_cnn_xavier_normal,1,2,24000,1.6029469442367554,0
60,base_cnn_xavier_normal,0,2,26000,1.385130360096693,0
61,base_cnn_xavier_normal,1,2,26000,1.6753601408004761,0
62,base_cnn_xavier_normal,0,2,28000,1.3686543212085962,0
63,base_cnn_xavier_normal,1,2,28000,1.6154947805404662,0
64,base_cnn_xavier_normal,0,2,30000,1.381846721291542,0
65,base_cnn_xavier_normal,1,2,30000,1.6174820590019225,0
66,base_cnn_xavier_normal,0,2,32000,1.3740586065351963,0
67,base_cnn_xavier_normal,1,2,32000,1.6041835784912108,0
68,base_cnn_xavier_normal,0,2,34000,1.373894941702485,0
69,base_cnn_xavier_normal,1,2,34000,1.5379126262664795,0
70,base_cnn_xavier_normal,0,2,36000,1.3596232074648142,0
71,base_cnn_xavier_normal,1,2,36000,1.5859515357017517,0
72,base_cnn_xavier_normal,0,3,2000,1.3298490495830775,0
73,base_cnn_xavier_normal,1,3,2000,1.602079792022705,0
74,base_cnn_xavier_normal,0,3,4000,1.3298039184212684,0
75,base_cnn_xavier_normal,1,3,4000,1.5504006457328796,0
76,base_cnn_xavier_normal,0,3,6000,1.3396742602288723,0
